name
Aerosols
Alarm clock
Aluminium trays
Animal bedding
Asbestos
Ash (coal & wood)
Audio cassettes
Bath towels
Bathroom suites
Batteries
Bedding & blankets
Beds
Bicycles
Birthday cards
Biscuit & sweet tins
Books
Bottles & jars
Bras
Bricks
Bubblewrap
Building materials
Buttons
Cans
Car batteries
Cardboard
Carpets
Carrier bags
Cars
Cartons
Cassette players
Cat litter
Catalogues
CD & DVD players
CD's & DVD's
Chairs
Chemicals
Chest freezers
Chest of drawers
Christmas cards
Christmas decorations
Christmas tree lights
Christmas trees
Clingfilm
Clinical waste
Cloth nappies
Clothes
Clothes hangers
Clothing & textiles
Coffee pods/capsules
Coins (foreign & old)
Computer monitors
Computers
Cookers
Cooking oil
Corks
Crisp packets
Crockery & Cutlery
Cupboards
Curtains
Cushions
Cutlery
Diesel & Petrol
Dishwashers
DIY equipment
DIY waste
Doors
Drink cans
Drink cartons
Duvets & pillows
DVD & CD players
DVD's & CD's
Egg boxes
Egg shells
Electrical items
Electronic games
Energy-saving bulbs
Engine oil
Envelopes
Fabrics
Fat
Filters (water)
Fire alarms
Fire extinguishers
Fluorescent tubes
Foil
Food & drink cartons
Food blender / mixer
Food tins & drink cans
Food waste
Fridges & freezers
Furniture
Games & toys
Garden chemicals
Garden waste
Gardening tools
Gas bottles
Gift & toy packaging
Gift-wrap
Glass
Glasses
Greetings cards
Hair dryers
Hair straighteners
Hardcore & rubble
Hazardous waste
Hearing aids
Hedge trimmers
Inhalers
Inkjet cartridges
Ironing boards
Irons
Jars
Jewellery
Junk mail
Kettles
Keyboards (musical)
Keys (metal)
Kitchen appliances
Kitchen foil
Kitchen roll
Lamps
Laptops
Lawnmowers
Light bulbs
Magazines
Mattresses
Medicines
Microwaves
Milk bottles
Mirrors
Mobile phones
MP3 players
Musical instruments
Nappies (disposable)
Newspapers
Oil
Ovens
Packaging (food)
Paint
Paint cans
Paper
Paper coffee cups
Paper towels
Pet bedding
Pet food
Pet waste
Petrol
Photographs
Plasterboard
Plastic bags
Plastic bottles
Plastic film
Plastic tubs & trays
Polystyrene
Postage stamps
Printer cartridges
Printers
Projectors
Pyrex
Radios
Rags
Records
Rubble
Rugs
Sat navs
Sellotape
Shampoo bottles
Shoes & boots
Shredded paper
Sideboards
Smoke alarms
Sofas / settees
Spectacles
Stamps
Stereos
Sticky tape
Stools
Sweet tins
Tables
Tablet computers
Tea towels
Telephone directories
Telephones
Tetrapaks
Textiles & clothing
Tiles (floor and wall)
Timber & wood
Toasters
Toner cartridges
Tools
Torch
Toys & games
Tumble dryers
TVs
Tyres
Vacuum cleaners
Vegetable oil
Video recorders
Video tapes
Wallpaper
Wardrobes
Washer dryers
Washing machines
Watches
Water bottles
Water filters
White goods
Wine bottles
Wool
Wrapping Paper
Yoghurt pots
