name,category,stream,reuse
Dr Bike,bicycles,reuse
Apex Cycles,bicycles,reuse
Balfe's Bikes,bicycles,reuse
Cycooldelic,bicycles,reuse
De Ver Cycles,bicycles,reuse
Herne Hill Bicycles,bicycles,reuse
London Bicycle - The repair shop,bicycles,reuse
Lambeth Reuse and Recycling Centre - Vale Street,bicycles,recycle
Smugglers Way Household Waste and Recycling Centre,bicycles,recycle
